Country,Happiness Rank,Happiness Score,GDP (current US$)
Albania,109,4.655,11861352705.0
Bangladesh,110,4.643,221000000000.0
Sierra Leone,111,4.635,3674794530.0
Iraq,112,4.575,170000000000.0
Namibia,113,4.574,11286139080.0
Cameroon,114,4.513,32621535419.0
Ethiopia,115,4.508,74271281811.0
South Africa,116,4.459,296000000000.0
Sri Lanka,117,4.415,82401038710.0
India,118,4.404,2290000000000.0
Myanmar,119,4.395,63256184700.0
Egypt,120,4.362,333000000000.0
Armenia,121,4.36,10546135160.0
Kenya,122,4.356,69188755511.0
Ukraine,123,4.324,93355993629.0
Ghana,124,4.276,55009730589.0
Congo (Kinshasa),125,4.272,37134799974.0
Georgia,126,4.252,14378036929.0
Congo (Brazzaville),127,4.236000000000001,9035848071.0
Senegal,128,4.218999999999999,19027392876.0
Bulgaria,129,4.217,53240950226.0
Mauritania,130,4.2010000000000005,4727937032.0
Zimbabwe,131,4.1930000000000005,20548678100.0
Malawi,132,4.156000000000001,5433040160.0
Sudan,133,4.138999999999999,95558220777.0
Gabon,134,4.121,14014369642.0
Mali,135,4.073,14010787738.0
Haiti,136,4.0280000000000005,7975563430.0
Botswana,137,3.9739999999999998,15646323341.0
Comoros,138,3.9560000000000004,1024261821.0
Ivory Coast,139,3.9160000000000004,35296979104.0
Cambodia,140,3.907,20016747754.0
Angola,141,3.866,101000000000.0
Niger,142,3.8560000000000003,7528285444.0
South Sudan,143,3.832,3070885014.0
Chad,144,3.763,10090922857.0
Burkina Faso,145,3.739,10886363727.0
Uganda,145,3.739,24133664285.0
Yemen,147,3.7239999999999998,30968242968.0
Madagascar,148,3.695,9958655045.0
Tanzania,149,3.6660000000000004,49774021003.0
Liberia,150,3.622,3277826000.0
Guinea,151,3.6069999999999998,8604520929.0
Rwanda,152,3.515,8475681533.0
Benin,153,3.484,8573159697.0
Afghanistan,154,3.36,19362642267.0
Togo,155,3.303,4414908597.0
Syria,156,3.069,
Burundi,157,2.905,2959185295.0
