,Country,Lat,Lng
164,Pakistan,33.68333333,73.05
165,Palau,7.483333332999999,134.633333
166,Panama,8.966666667,-79.533333
167,Papua New Guinea,-9.45,147.183333
168,Paraguay,-25.26666667,-57.666667000000004
169,Peru,-12.05,-77.05
170,Philippines,14.6,120.96666699999999
171,Pitcairn Islands,-25.06666667,-130.083333
172,Poland,52.25,21.0
173,Portugal,38.71666667,-9.133333
174,Puerto Rico,18.46666667,-66.116667
175,Qatar,25.28333333,51.533333
176,Romania,44.43333333,26.1
177,Russia,55.75,37.6
178,Rwanda,-1.95,30.05
179,Saint Barthelemy,17.88333333,-62.85
180,Saint Helena,-15.93333333,-5.716667
181,Saint Kitts and Nevis,17.3,-62.716667
182,Saint Lucia,14.0,-61.0
183,Saint Pierre and Miquelon,46.76666667,-56.183333
184,Saint Vincent and the Grenadines,13.13333333,-61.216667
185,Samoa,-13.81666667,-171.76666699999998
186,San Marino,43.93333333,12.416667
187,Sao Tome and Principe,0.333333333,6.733333
188,Saudi Arabia,24.65,46.7
189,Senegal,14.73333333,-17.633333
190,Serbia,44.83333333,20.5
191,Seychelles,-4.616666667,55.45
192,Sierra Leone,8.483333333,-13.233332999999998
193,Singapore,1.283333333,103.85
194,Sint Maarten,18.01666667,-63.033333
195,Slovakia,48.15,17.116667
196,Slovenia,46.05,14.516667000000002
197,Solomon Islands,-9.433333333,159.95
198,Somalia,2.066666667,45.333333
199,South Africa,-25.7,28.216666999999998
200,South Sudan,4.85,31.616667
201,Spain,40.4,-3.683333
202,Sri Lanka,6.916666667,79.833333
203,Sudan,15.6,32.533333
204,Suriname,5.833333333,-55.166667000000004
205,Svalbard,78.21666667,15.633332999999999
206,Swaziland,-26.31666667,31.133333
207,Sweden,59.33333333,18.05
208,Switzerland,46.91666667,7.466667
209,Syria,33.5,36.3
210,Taiwan,25.03333333,121.516667
211,Tajikistan,38.55,68.766667
212,Tanzania,-6.8,39.283333
213,Thailand,13.75,100.516667
214,Timor-Leste,-8.583333332999999,125.6
215,Togo,6.1166666670000005,1.216667
216,Tonga,-21.13333333,-175.2
217,Trinidad and Tobago,10.65,-61.516667000000005
218,Tunisia,36.8,10.183333
219,Turkey,39.93333333,32.866667
220,Turkmenistan,37.95,58.38333299999999
221,Turks and Caicos Islands,21.46666667,-71.133333
222,Tuvalu,-8.516666667,179.216667
223,Uganda,0.316666667,32.55
224,Ukraine,50.43333333,30.516666999999998
225,United Arab Emirates,24.46666667,54.36666700000001
226,United Kingdom,51.5,-0.083333
227,United States,38.883333,-77.0
228,Uruguay,-34.85,-56.166667000000004
229,Uzbekistan,41.31666667,69.25
230,Vanuatu,-17.73333333,168.316667
231,Venezuela,10.48333333,-66.866667
232,Vietnam,21.03333333,105.85
233,US Virgin Islands,18.35,-64.93333299999999
234,Wallis and Futuna,-13.95,-171.933333
235,Yemen,15.35,44.2
236,Zambia,-15.41666667,28.283333000000002
237,Zimbabwe,-17.81666667,31.033333000000002
238,US Minor Outlying Islands,38.883333,-77.0
239,Antarctica,0.0,0.0
240,Northern Cyprus,35.183333000000005,33.366667
241,Hong Kong,0.0,0.0
242,Heard Island and McDonald Islands,0.0,0.0
243,British Indian Ocean Territory,-7.3,72.4
244,Macau,0.0,0.0
