Country,Happiness Rank,Happiness Score,GDP (current US$),PPP,Population Total,Population Density,Median Age
Denmark,1,7.526,312000000000.0,290377000000.0,5728010.0,136.4136699,42.0
Switzerland,2,7.5089999999999995,670000000000.0,537701000000.0,8373338.0,211.8974034,42.2
Iceland,3,7.501,20716024757.0,17638152067.0,335439.0,3.346024938,36.3
Norway,4,7.497999999999999,371000000000.0,304327000000.0,5234519.0,14.3363165,39.1
Finland,5,7.412999999999999,239000000000.0,240309000000.0,5495303.0,18.08200783,42.4
Canada,6,7.404,1530000000000.0,1625350000000.0,36109487.0,3.970907493,42.0
Netherlands,7,7.3389999999999995,784000000000.0,874312000000.0,17030314.0,505.500564,42.5
New Zealand,8,7.334,188000000000.0,183610000000.0,4693200.0,17.82385781,37.8
Australia,9,7.313,1210000000000.0,1145490000000.0,24190907.0,3.144935531,38.6
Sweden,10,7.291,512000000000.0,487065000000.0,9923085.0,24.36248803,41.2
Israel,11,7.267,319000000000.0,320589000000.0,8546000.0,394.9168207,29.7
Austria,12,7.119,394000000000.0,451297000000.0,8736668.0,105.8694934,43.8
United States,13,7.104,18700000000000.0,18707200000000.0,323071342.0,35.31830199,37.9
Costa Rica,14,7.087000000000001,57157995873.0,79754486839.0,4899345.0,95.9527027,30.9
Puerto Rico,15,7.039,104000000000.0,130752000000.0,3406495.0,384.0467869,39.5
Germany,16,6.994,3500000000000.0,4110960000000.0,82348669.0,235.71292940000004,46.8
Brazil,17,6.952000000000001,1800000000000.0,3160800000000.0,206163058.0,24.66614079,31.6
Belgium,18,6.928999999999999,470000000000.0,535004000000.0,11331422.0,374.2213342,41.4
Ireland,19,6.907,302000000000.0,337276000000.0,4755335.0,69.0279431,36.4
Luxembourg,20,6.871,58961235412.0,61159237905.0,582014.0,239.5119342,39.2
Mexico,21,6.778,1080000000000.0,2316430000000.0,123333376.0,63.44472646,28.0
Singapore,22,6.739,318000000000.0,512797000000.0,5607283.0,7908.720563,34.3
United Kingdom,23,6.725,2660000000000.0,2819120000000.0,65595565.0,271.134481,40.5
Chile,24,6.705,250000000000.0,416517000000.0,18209068.0,24.48995771,34.0
Panama,25,6.7010000000000005,57957600000.0,93643298813.0,4037078.0,54.30559591,28.9
Argentina,26,6.65,558000000000.0,877492000000.0,43590368.0,15.92813508,31.5
Czech Republic,27,6.596,195000000000.0,372257000000.0,10566332.0,136.8341362,41.7
United Arab Emirates,28,6.5729999999999995,357000000000.0,677605000000.0,9360980.0,131.8076598,30.3
Uruguay,29,6.545,52687612262.0,74715447126.0,3424132.0,19.56423266,34.7
Malta,30,6.4879999999999995,11442612409.0,17457901035.0,455356.0,1422.9875,41.5
Colombia,31,6.481,283000000000.0,686905000000.0,48171392.0,43.41720775,29.6
France,32,6.478,2470000000000.0,2811270000000.0,66859768.0,122.1055871,41.2
Thailand,33,6.474,412000000000.0,1169840000000.0,68971331.0,135.00231169999998,37.2
Saudi Arabia,34,6.379,645000000000.0,1757080000000.0,32442572.0,15.09174439,27.2
Taiwan,34,6.379,,,,,40.2
Qatar,36,6.375,152000000000.0,328011000000.0,2654374.0,228.6282515,33.0
Spain,37,6.361000000000001,1240000000000.0,1706680000000.0,46483569.0,93.04827901,42.3
Algeria,38,6.355,160000000000.0,610316000000.0,40551404.0,17.02595749,27.8
Guatemala,39,6.324,68663653469.0,131924000000.0,16583060.0,154.7504666,21.7
Suriname,40,6.269,3167164371.0,8259820883.0,564888.0,3.621076923,29.5
Kuwait,41,6.239,109000000000.0,299493000000.0,3956873.0,222.0467452,29.2
Bahrain,42,6.218,32250132979.0,67319507670.0,1425791.0,1832.636175,32.1
Trinidad and Tobago,43,6.167999999999999,21746391333.0,43515095891.0,1377564.0,268.53099419999995,35.5
Venezuela,44,6.084,,,,,28.0
Slovakia,45,6.077999999999999,89848359305.0,167790000000.0,5430798.0,112.9533694,40.1
El Salvador,46,6.068,24154120000.0,48853482644.0,6356143.0,306.7636583000001,26.6
Malaysia,47,6.005,297000000000.0,864868000000.0,30684804.0,93.39462487,28.2
Nicaragua,48,5.992000000000001,13286093197.0,34042833260.0,6303974.0,52.38469337,25.2
Uzbekistan,49,5.987,81779019096.0,202174000000.0,31847900.0,74.86577339,28.1
Italy,50,5.977,1870000000000.0,2367210000000.0,60627498.0,206.1178282,45.1
Ecuador,51,5.976,99937696000.0,185065000000.0,16491115.0,66.40004429,27.4
Belize,52,5.956,1806646250.0,3090206268.0,368400.0,16.15081105,22.4
Japan,53,5.921,4930000000000.0,5221770000000.0,126994511.0,348.350096,46.9
