Country,Happiness Rank,Happiness Score,Latitude,Longitude
Jamaica,73.0,5.51,18.109581,-77.297508
Croatia,74.0,5.4879999999999995,45.1,15.2
Hong Kong,75.0,5.457999999999999,22.396428,114.109497
Somalia,76.0,5.44,5.152149,46.199616
Kosovo,77.0,5.401,42.602636,20.902977
Turkey,78.0,5.388999999999999,38.963745,35.243322
Indonesia,79.0,5.314,-0.789275,113.921327
Jordan,80.0,5.303,30.585164,36.238414
Azerbaijan,81.0,5.291,40.143105,47.57692700000001
Philippines,82.0,5.279,12.879721,121.774017
China,83.0,5.245,35.86166,104.195397
Bhutan,84.0,5.196000000000001,27.514162,90.433601
Kyrgyzstan,85.0,5.185,41.20438,74.766098
Serbia,86.0,5.1770000000000005,44.016521,21.005859
Bosnia and Herzegovina,87.0,5.162999999999999,43.915886,17.679076000000006
Montenegro,88.0,5.1610000000000005,42.708678000000006,19.37439
Dominican Republic,89.0,5.155,18.735693,-70.162651
Morocco,90.0,5.151,31.791702,-7.09262
Hungary,91.0,5.145,47.162494,19.503304
Pakistan,92.0,5.132000000000001,30.375321000000003,69.345116
Lebanon,93.0,5.129,33.854721000000005,35.862285
Portugal,94.0,5.122999999999999,39.399872,-8.224454
Macedonia,95.0,5.121,,
Vietnam,96.0,5.061,14.058324,108.277199
Somaliland Region,97.0,5.0569999999999995,,
Tunisia,98.0,5.045,33.886917,9.537499
Greece,99.0,5.033,39.074208,21.824312
Tajikistan,100.0,4.996,38.861034,71.276093
Mongolia,101.0,4.907,46.862496,103.846656
Laos,102.0,4.876,19.85627,102.495496
Nigeria,103.0,4.875,9.081999,8.675277000000001
Honduras,104.0,4.871,15.199998999999998,-86.241905
Iran,105.0,4.813,32.427908,53.68804599999999
Zambia,106.0,4.795,-13.133897,27.849332
Nepal,107.0,4.793,28.394857,84.12400799999998
Palestinian Territories,108.0,4.754,31.952162,35.233154
Albania,109.0,4.655,41.153332,20.168331
Bangladesh,110.0,4.643,23.684994,90.356331
Sierra Leone,111.0,4.635,8.460555000000001,-11.779889
Iraq,112.0,4.575,33.223191,43.679291
Namibia,113.0,4.574,-22.95764,18.49041
Cameroon,114.0,4.513,7.369722,12.354722
Ethiopia,115.0,4.508,9.145,40.489673
South Africa,116.0,4.459,-30.559482,22.937506
Sri Lanka,117.0,4.415,7.873054,80.77179699999998
India,118.0,4.404,20.593684,78.96288
Myanmar,119.0,4.395,,
Egypt,120.0,4.362,26.820553000000004,30.802498
Armenia,121.0,4.36,40.069099,45.038189
Kenya,122.0,4.356,-0.023559,37.906193
Ukraine,123.0,4.324,48.379433,31.16558
Ghana,124.0,4.276,7.9465270000000015,-1.0231940000000002
Congo (Kinshasa),125.0,4.272,,
Georgia,126.0,4.252,42.315407,43.356892
Congo (Brazzaville),127.0,4.236000000000001,,
Senegal,128.0,4.218999999999999,14.497401000000002,-14.452362
Bulgaria,129.0,4.217,42.733883,25.48583
Mauritania,130.0,4.2010000000000005,21.00789,-10.940835
Zimbabwe,131.0,4.1930000000000005,-19.015438,29.154857
Malawi,132.0,4.156000000000001,-13.254307999999998,34.301525
Sudan,133.0,4.138999999999999,12.862807,30.217636
Gabon,134.0,4.121,-0.803689,11.609444
Mali,135.0,4.073,17.570692,-3.996166000000001
Haiti,136.0,4.0280000000000005,18.971187,-72.28521500000002
Botswana,137.0,3.9739999999999998,-22.328474,24.684866
Comoros,138.0,3.9560000000000004,-11.875001,43.872219
Ivory Coast,139.0,3.9160000000000004,,
Cambodia,140.0,3.907,12.565679,104.990963
Angola,141.0,3.866,-11.202692,17.873887
Niger,142.0,3.8560000000000003,17.607789,8.081666
South Sudan,143.0,3.832,,
Chad,144.0,3.763,15.454166,18.732207
Burkina Faso,145.0,3.739,12.238333,-1.561593
Uganda,145.0,3.739,1.373333,32.290275
Yemen,147.0,3.7239999999999998,15.552727,48.516388
Madagascar,148.0,3.695,-18.766947,46.869107
Tanzania,149.0,3.6660000000000004,-6.369028,34.888822
Liberia,150.0,3.622,6.4280550000000005,-9.429499
Guinea,151.0,3.6069999999999998,9.945587,-9.696645
Rwanda,152.0,3.515,-1.940278,29.873888
Benin,153.0,3.484,9.30769,2.315834
Afghanistan,154.0,3.36,33.93911,67.709953
Togo,155.0,3.303,8.619543,0.824782
Syria,156.0,3.069,34.802075,38.99681500000001
Burundi,157.0,2.905,-3.373056,29.918886
Andorra,,,42.546245,1.601554
Antigua and Barbuda,,,17.060816,-61.79642800000001
Anguilla,,,18.220554,-63.068615
Netherlands Antilles,,,12.226079,-69.060087
Antarctica,,,-75.250973,-0.071389
American Samoa,,,-14.270972,-170.132217
Aruba,,,12.52111,-69.968338
Barbados,,,13.193887,-59.543198
Bermuda,,,32.321384,-64.75737
Brunei,,,4.535277,114.727669
Bahamas,,,25.03428,-77.39628
Bouvet Island,,,-54.423199,3.4131940000000003
Cocos [Keeling] Islands,,,-12.164165,96.870956
Congo [DRC],,,-4.0383330000000015,21.758664000000003
Central African Republic,,,6.611111,20.939444
