Country1,Happiness Rank1,Happiness Score1,Latitude1,Longitude1,Country2,Happiness Rank2,Happiness Score2,Latitude2,Longitude2,Latitude Distance,Longitude Distance,Distance,Rank Difference,Score Difference
Denmark,1,7.526,56.26392,9.501785,Algeria,38,6.355,28.033886,1.6596259999999998,28.230034,7.8421590000000005,29.29904908734133,37,1.1709999999999994
Denmark,1,7.526,56.26392,9.501785,Guatemala,39,6.324,15.783471,-90.230759,40.480449,99.732544,107.63478565943976,38,1.202
Denmark,1,7.526,56.26392,9.501785,Suriname,40,6.269,3.919305000000001,-56.02778299999999,52.344615,65.529568,83.86944021373249,39,1.2569999999999997
Denmark,1,7.526,56.26392,9.501785,Kuwait,41,6.239,29.31166,47.481766,26.95226,-37.979981,46.57148565235987,40,1.287
Denmark,1,7.526,56.26392,9.501785,Bahrain,42,6.218,25.930414000000006,50.637772,30.333505999999993,-41.135987,51.110576329329376,41,1.3079999999999998
Denmark,1,7.526,56.26392,9.501785,Trinidad and Tobago,43,6.167999999999999,10.691803,-61.222503,45.572117,70.724288,84.13526466927308,42,1.3580000000000005
Denmark,1,7.526,56.26392,9.501785,Venezuela,44,6.084,6.42375,-66.58973,-49.84017,76.091515,90.96131705634063,43,1.4420000000000002
Denmark,1,7.526,56.26392,9.501785,Slovakia,45,6.077999999999999,48.669026,19.699024,7.5948939999999965,-10.197239000000001,12.71479838984311,44,1.4480000000000004
Denmark,1,7.526,56.26392,9.501785,El Salvador,46,6.068,13.794185,-88.89653,42.469735,98.398315,107.17232285347485,45,1.4580000000000002
Denmark,1,7.526,56.26392,9.501785,Malaysia,47,6.005,4.210483999999999,101.975766,52.053436,-92.473981,106.11784657348855,46,1.521
Denmark,1,7.526,56.26392,9.501785,Nicaragua,48,5.992000000000001,12.865416,-85.207229,43.398504,94.709014,104.17882453881984,47,1.533999999999999
Denmark,1,7.526,56.26392,9.501785,Uzbekistan,49,5.987,41.377491,64.585262,14.886429,-55.083477,57.059575942882454,48,1.5389999999999997
Denmark,1,7.526,56.26392,9.501785,Italy,50,5.977,41.87194,12.56738,14.391979999999997,-3.065595,14.714855113946074,49,1.5489999999999995
Denmark,1,7.526,56.26392,9.501785,Ecuador,51,5.976,-1.831239,-78.183406,58.095158999999995,87.685191,105.18431546548071,50,1.5499999999999998
Denmark,1,7.526,56.26392,9.501785,Belize,52,5.956,17.189877,-88.49765,39.074043,97.99943499999999,105.50199096076373,51,1.5699999999999994
Denmark,1,7.526,56.26392,9.501785,Japan,53,5.921,36.204824,138.252924,20.059095999999997,-128.751139,130.30434807071688,52,1.6049999999999995
Denmark,1,7.526,56.26392,9.501785,Kazakhstan,54,5.919,48.019573,66.923684,8.244346999999998,-57.421898999999996,58.01072092486534,53,1.6070000000000002
Denmark,1,7.526,56.26392,9.501785,Moldova,55,5.897,47.411631,28.369885,8.852288999999999,-18.8681,20.841502300686503,54,1.6289999999999996
Denmark,1,7.526,56.26392,9.501785,Russia,56,5.856,61.52401,105.318756,5.260089999999998,-95.816971,95.96124466899614,55,1.67
Denmark,1,7.526,56.26392,9.501785,Poland,57,5.835,51.919438,19.145136,4.344481999999999,-9.643351000000001,10.576802085579791,56,1.6909999999999998
Denmark,1,7.526,56.26392,9.501785,South Korea,57,5.835,35.90775700000001,127.766922,20.356162999999988,-118.265137,120.004233265795,56,1.6909999999999998
Denmark,1,7.526,56.26392,9.501785,Bolivia,59,5.822,-16.290154,-63.588653,72.554074,73.090438,102.98692043667157,58,1.7039999999999997
Denmark,1,7.526,56.26392,9.501785,Lithuania,60,5.813,55.169438,23.881275,1.0944819999999993,-14.379489999999999,14.421082605283972,59,1.713
