Country,Happiness Rank,Happiness Score,GDP (current US$),PPP,Population Total
Tunisia,98,5.045,41808379888.0,132748000000.0,11303946.0
Greece,99,5.033,195000000000.0,293903000000.0,10775971.0
Tajikistan,100,4.996,6952678127.0,26047146785.0,8663579.0
Mongolia,101,4.907,11186734674.0,37106787271.0,3056359.0
Laos,102,4.876,15805707154.0,44314739460.0,6845846.0
Nigeria,103,4.875,405000000000.0,1094000000000.0,185960289.0
Honduras,104,4.871,21566622850.0,43416307561.0,9270795.0
Iran,105,4.813,419000000000.0,1603240000000.0,79564016.0
Zambia,106,4.795,20954754378.0,65421373556.0,16363507.0
Nepal,107,4.793,21185922408.0,72023121031.0,27261131.0
Palestinian Territories,108,4.754,13425700000.0,21692146591.0,4367088.0
Albania,109,4.655,11861352705.0,34134175007.0,2876101.0
Bangladesh,110,4.643,221000000000.0,583983000000.0,157970840.0
Sierra Leone,111,4.635,3674794530.0,10890981977.0,7328838.0
Iraq,112,4.575,170000000000.0,652709000000.0,36610632.0
Namibia,113,4.574,11286139080.0,26411068149.0,2358041.0
Cameroon,114,4.513,32621535419.0,84856536734.0,23926539.0
Ethiopia,115,4.508,74271281811.0,180909000000.0,103603501.0
South Africa,116,4.459,296000000000.0,743073000000.0,56203654.0
Sri Lanka,117,4.415,82401038710.0,262055000000.0,21203000.0
India,118,4.404,2290000000000.0,8787920000000.0,1324509589.0
Myanmar,119,4.395,63256184700.0,302881000000.0,53045226.0
Egypt,120,4.362,333000000000.0,1066710000000.0,94447072.0
Armenia,121,4.36,10546135160.0,25863255541.0,2936146.0
Kenya,122,4.356,69188755511.0,153131000000.0,49051686.0
Ukraine,123,4.324,93355993629.0,353743000000.0,45004645.0
Ghana,124,4.276,55009730589.0,117791000000.0,28481946.0
Congo (Kinshasa),125,4.272,37134799974.0,68437288037.0,78789127.0
Georgia,126,4.252,14378036929.0,37250877581.0,3727505.0
Congo (Brazzaville),127,4.236000000000001,9035848071.0,29059126467.0,4980999.0
Senegal,128,4.218999999999999,19027392876.0,50251358109.0,14993528.0
Bulgaria,129,4.217,53240950226.0,138995000000.0,7127822.0
Mauritania,130,4.2010000000000005,4727937032.0,16588414158.0,4163534.0
Zimbabwe,131,4.1930000000000005,20548678100.0,37705065648.0,14030390.0
Malawi,132,4.156000000000001,5433040160.0,21169672700.0,17205289.0
Sudan,133,4.138999999999999,95558220777.0,187437000000.0,39847440.0
Gabon,134,4.121,14014369642.0,35820248114.0,2007873.0
Mali,135,4.073,14010787738.0,38294923472.0,17965429.0
Haiti,136,4.0280000000000005,7975563430.0,19372753030.0,10839970.0
Botswana,137,3.9739999999999998,15646323341.0,37398956044.0,2159944.0
Comoros,138,3.9560000000000004,1024261821.0,2139394723.0,795592.0
Ivory Coast,139,3.9160000000000004,35296979104.0,87323360876.0,23822714.0
Cambodia,140,3.907,20016747754.0,59012585012.0,15766293.0
Angola,141,3.866,101000000000.0,194887000000.0,28842484.0
Niger,142,3.8560000000000003,7528285444.0,20470418145.0,20788838.0
South Sudan,143,3.832,3070885014.0,19625017092.0,10832512.0
Chad,144,3.763,10090922857.0,29309973474.0,14561666.0
Burkina Faso,145,3.739,10886363727.0,33065973361.0,18646378.0
Uganda,145,3.739,24133664285.0,75659346318.0,39647506.0
Yemen,147,3.7239999999999998,30968242968.0,76823303515.0,27168210.0
Madagascar,148,3.695,9958655045.0,37539288199.0,24894380.0
Tanzania,149,3.6660000000000004,49774021003.0,150708000000.0,53050790.0
Liberia,150,3.622,3277826000.0,5824698888.0,4586788.0
Guinea,151,3.6069999999999998,8604520929.0,25440105141.0,11738441.0
Rwanda,152,3.515,8475681533.0,23084077091.0,11668818.0
Benin,153,3.484,8573159697.0,23589730506.0,10872067.0
Afghanistan,154,3.36,19362642267.0,67121529135.0,35383128.0
Togo,155,3.303,4414908597.0,12171402346.0,7509952.0
Syria,156,3.069,,,
Burundi,157,2.905,2959185295.0,7802059444.0,10487998.0
