Country,Happiness Rank,Happiness Score,GDP (current US$),PPP
Sierra Leone,111.0,4.635,3674794530.0,10890981977.0
Iraq,112.0,4.575,170000000000.0,652709000000.0
Namibia,113.0,4.574,11286139080.0,26411068149.0
Cameroon,114.0,4.513,32621535419.0,84856536734.0
Ethiopia,115.0,4.508,74271281811.0,180909000000.0
South Africa,116.0,4.459,296000000000.0,743073000000.0
Sri Lanka,117.0,4.415,82401038710.0,262055000000.0
India,118.0,4.404,2290000000000.0,8787920000000.0
Myanmar,119.0,4.395,63256184700.0,302881000000.0
Egypt,120.0,4.362,333000000000.0,1066710000000.0
Armenia,121.0,4.36,10546135160.0,25863255541.0
Kenya,122.0,4.356,69188755511.0,153131000000.0
Ukraine,123.0,4.324,93355993629.0,353743000000.0
Ghana,124.0,4.276,55009730589.0,117791000000.0
Congo (Kinshasa),125.0,4.272,37134799974.0,68437288037.0
Georgia,126.0,4.252,14378036929.0,37250877581.0
Congo (Brazzaville),127.0,4.236000000000001,9035848071.0,29059126467.0
Senegal,128.0,4.218999999999999,19027392876.0,50251358109.0
Bulgaria,129.0,4.217,53240950226.0,138995000000.0
Mauritania,130.0,4.2010000000000005,4727937032.0,16588414158.0
Zimbabwe,131.0,4.1930000000000005,20548678100.0,37705065648.0
Malawi,132.0,4.156000000000001,5433040160.0,21169672700.0
Sudan,133.0,4.138999999999999,95558220777.0,187437000000.0
Gabon,134.0,4.121,14014369642.0,35820248114.0
Mali,135.0,4.073,14010787738.0,38294923472.0
Haiti,136.0,4.0280000000000005,7975563430.0,19372753030.0
Botswana,137.0,3.9739999999999998,15646323341.0,37398956044.0
Comoros,138.0,3.9560000000000004,1024261821.0,2139394723.0
Ivory Coast,139.0,3.9160000000000004,35296979104.0,87323360876.0
Cambodia,140.0,3.907,20016747754.0,59012585012.0
Angola,141.0,3.866,101000000000.0,194887000000.0
Niger,142.0,3.8560000000000003,7528285444.0,20470418145.0
South Sudan,143.0,3.832,3070885014.0,19625017092.0
Chad,144.0,3.763,10090922857.0,29309973474.0
Burkina Faso,145.0,3.739,10886363727.0,33065973361.0
Uganda,145.0,3.739,24133664285.0,75659346318.0
Yemen,147.0,3.7239999999999998,30968242968.0,76823303515.0
Madagascar,148.0,3.695,9958655045.0,37539288199.0
Tanzania,149.0,3.6660000000000004,49774021003.0,150708000000.0
Liberia,150.0,3.622,3277826000.0,5824698888.0
Guinea,151.0,3.6069999999999998,8604520929.0,25440105141.0
Rwanda,152.0,3.515,8475681533.0,23084077091.0
Benin,153.0,3.484,8573159697.0,23589730506.0
Afghanistan,154.0,3.36,19362642267.0,67121529135.0
Togo,155.0,3.303,4414908597.0,12171402346.0
Syria,156.0,3.069,,
Burundi,157.0,2.905,2959185295.0,7802059444.0
Aruba,,,,4026064568.0
