,Country,2018,2017_x,2016_x,2015,2016_y,2017_y
92,Cameroon,4.97,4.7,4.51,4.25,0.547,0.547
93,Bulgaria,4.93,4.71,4.22,4.22,0.805,0.805
94,Nepal,4.88,4.96,4.79,4.51,0.502,0.502
95,Venezuela,4.81,5.25,6.08,6.81,0.733,0.741
96,Gabon,4.76,4.47,4.12,3.9,0.621,0.628
97,Palestinian Territories,4.74,4.78,4.75,4.72,0.66,0.66
98,South Africa,4.72,4.83,4.46,4.64,0.708,0.708
99,Iran,4.71,4.69,4.81,4.69,0.741,0.741
100,Ivory Coast,4.67,4.18,3.92,3.66,,
101,Ghana,4.66,4.12,4.28,4.63,0.5579999999999999,0.5579999999999999
102,Senegal,4.63,4.53,4.22,3.9,0.361,0.368
103,Tunisia,4.59,4.8,5.04,4.74,0.6559999999999999,0.659
104,Albania,4.59,4.64,4.66,4.96,0.742,0.745
105,Sierra Leone,4.57,4.71,4.64,4.51,0.382,0.39
106,Congo (Brazzaville),4.56,4.29,4.24,3.99,0.486,0.496
107,Bangladesh,4.5,4.61,4.64,4.69,0.49,0.508
108,Sri Lanka,4.47,4.44,4.42,4.27,0.7490000000000001,0.7490000000000001
109,Iraq,4.46,4.5,4.58,4.68,0.502,0.534
110,Mali,4.45,4.19,4.07,4.0,0.287,0.293
111,Cambodia,4.43,4.17,3.91,3.82,0.483,0.48700000000000004
112,Burkina Faso,4.42,4.03,3.74,3.59,0.285,0.28600000000000003
113,Egypt,4.42,4.74,4.36,4.19,0.604,0.604
114,Kenya,4.41,4.55,4.36,4.42,0.5429999999999999,0.551
115,Zambia,4.38,4.51,4.8,5.13,0.58,0.58
116,Mauritania,4.36,4.29,4.2,4.44,0.385,0.389
117,Ethiopia,4.35,4.46,4.51,4.51,0.325,0.327
118,Georgia,4.34,4.29,4.25,4.3,0.845,0.845
119,Armenia,4.32,4.38,4.36,4.35,0.7490000000000001,0.7490000000000001
120,Myanmar,4.31,4.55,4.39,4.31,0.44,0.44299999999999995
121,Chad,4.3,3.94,3.76,3.67,0.298,0.298
