Country,Population Density
Sub-Saharan Africa (IDA & IBRD countries),48.13620016
Trinidad and Tobago,268.53099419999995
Tunisia,72.75969361
Turkey,103.71441340000001
Tuvalu,374.1666667
Tanzania,59.89025739
Uganda,197.723449
Ukraine,77.68931796
Upper middle income,44.81308869
Uruguay,19.56423266
United States,35.31830199
Uzbekistan,74.86577339
St. Vincent and the Grenadines,280.66410260000004
"Venezuela, RB",33.837286999999996
British Virgin Islands,195.7
Virgin Islands (U.S.),307.1714286
Vietnam,301.9922082
Vanuatu,22.83264971
World,58.31042463
Samoa,68.74028269
Kosovo,166.82281619999998
"Yemen, Rep.",51.45786692
South Africa,46.33098451
Zambia,22.0120085
Zimbabwe,36.268295200000004
