,Country,2018,2017,2016,2015
0,Finland,7.63,7.47,7.41,7.41
1,Norway,7.59,7.54,7.5,7.52
2,Denmark,7.56,7.52,7.53,7.53
3,Iceland,7.5,7.5,7.5,7.56
4,Switzerland,7.49,7.49,7.51,7.59
5,Netherlands,7.44,7.38,7.34,7.38
6,Canada,7.33,7.32,7.4,7.43
7,New Zealand,7.32,7.31,7.33,7.29
8,Sweden,7.31,7.28,7.29,7.36
9,Australia,7.27,7.28,7.31,7.28
10,Israel,7.19,7.21,7.27,7.28
11,Austria,7.14,7.01,7.12,7.2
12,Costa Rica,7.07,7.08,7.09,7.23
13,Ireland,6.98,6.98,6.91,6.94
14,Germany,6.96,6.95,6.99,6.75
15,Belgium,6.93,6.89,6.93,6.94
16,Luxembourg,6.91,6.86,6.87,6.95
17,United States,6.89,6.99,7.1,7.12
18,United Kingdom,6.81,6.71,6.72,6.87
19,United Arab Emirates,6.77,6.65,6.57,6.9
20,Czech Republic,6.71,6.61,6.6,6.5
21,Malta,6.63,6.53,6.49,6.3
22,France,6.49,6.44,6.48,6.58
23,Mexico,6.49,6.58,6.78,7.19
24,Chile,6.48,6.65,6.7,6.67
25,Panama,6.43,6.45,6.7,6.79
26,Brazil,6.42,6.64,6.95,6.98
27,Argentina,6.39,6.6,6.65,6.57
28,Guatemala,6.38,6.45,6.32,6.12
29,Uruguay,6.38,6.45,6.54,6.48
30,Qatar,6.37,6.38,6.38,6.61
31,Saudi Arabia,6.37,6.34,6.38,6.41
32,Singapore,6.34,6.57,6.74,6.8
33,Malaysia,6.32,6.08,6.0,5.77
34,Spain,6.31,6.4,6.36,6.33
35,Colombia,6.26,6.36,6.48,6.48
36,Slovakia,6.17,6.1,6.08,6.0
37,El Salvador,6.17,6.0,6.07,6.13
38,Nicaragua,6.14,6.07,5.99,5.83
39,Poland,6.12,5.97,5.84,5.79
40,Bahrain,6.1,6.09,6.22,5.96
41,Uzbekistan,6.1,5.97,5.99,6.0
42,Kuwait,6.08,6.11,6.24,6.3
43,Thailand,6.07,6.42,6.47,6.46
44,Italy,6.0,5.96,5.98,5.95
45,Ecuador,5.97,6.01,5.98,5.98
46,Lithuania,5.95,5.9,5.81,5.83
47,Slovenia,5.95,5.76,5.77,5.85
48,Romania,5.94,5.82,5.53,5.12
49,Latvia,5.93,5.85,5.56,5.1
50,Japan,5.92,5.92,5.92,5.99
51,Mauritius,5.89,5.63,5.65,5.48
52,Jamaica,5.89,5.31,5.51,5.71
53,South Korea,5.88,5.84,5.84,5.98
54,Russia,5.81,5.96,5.86,5.72
55,Kazakhstan,5.79,5.82,5.92,5.86
56,Cyprus,5.76,5.62,5.55,5.69
57,Bolivia,5.75,5.82,5.82,5.89
58,Estonia,5.74,5.61,5.52,5.43
59,Paraguay,5.68,5.49,5.54,5.88
60,Peru,5.66,5.72,5.74,5.82
61,Kosovo,5.66,5.28,5.4,5.59
62,Moldova,5.64,5.84,5.9,5.89
63,Turkmenistan,5.64,5.82,5.66,5.55
64,Hungary,5.62,5.32,5.14,4.8
65,Libya,5.57,5.53,5.62,5.75
66,Philippines,5.52,5.43,5.28,5.07
67,Honduras,5.5,5.18,4.87,4.79
68,Belarus,5.48,5.57,5.8,5.81
69,Turkey,5.48,5.5,5.39,5.33
70,Pakistan,5.47,5.27,5.13,5.19
71,Portugal,5.41,5.2,5.12,5.1
72,Serbia,5.4,5.39,5.18,5.12
73,Greece,5.36,5.23,5.03,4.86
74,Tajikistan,5.36,5.04,5.0,4.79
75,Montenegro,5.35,5.24,5.16,5.19
76,Croatia,5.32,5.29,5.49,5.76
77,Dominican Republic,5.3,5.23,5.16,4.88
78,Algeria,5.3,5.87,6.36,5.6
79,Morocco,5.25,5.24,5.15,5.01
80,China,5.25,5.27,5.24,5.14
81,Azerbaijan,5.2,5.23,5.29,5.21
82,Lebanon,5.2,5.22,5.13,4.84
83,Macedonia,5.18,5.18,5.12,5.01
84,Jordan,5.16,5.34,5.3,5.19
85,Nigeria,5.16,5.07,4.88,5.27
86,Kyrgyzstan,5.13,5.0,5.18,5.29
87,Bosnia and Herzegovina,5.13,5.18,5.16,4.95
88,Mongolia,5.12,4.95,4.91,4.87
89,Vietnam,5.1,5.07,5.06,5.36
90,Indonesia,5.09,5.26,5.31,5.4
91,Bhutan,5.08,5.01,5.2,5.25
92,Cameroon,4.97,4.7,4.51,4.25
93,Bulgaria,4.93,4.71,4.22,4.22
94,Nepal,4.88,4.96,4.79,4.51
95,Venezuela,4.81,5.25,6.08,6.81
96,Gabon,4.76,4.47,4.12,3.9
97,Palestinian Territories,4.74,4.78,4.75,4.72
98,South Africa,4.72,4.83,4.46,4.64
99,Iran,4.71,4.69,4.81,4.69
100,Ivory Coast,4.67,4.18,3.92,3.66
101,Ghana,4.66,4.12,4.28,4.63
102,Senegal,4.63,4.53,4.22,3.9
103,Tunisia,4.59,4.8,5.04,4.74
104,Albania,4.59,4.64,4.66,4.96
105,Sierra Leone,4.57,4.71,4.64,4.51
106,Congo (Brazzaville),4.56,4.29,4.24,3.99
107,Bangladesh,4.5,4.61,4.64,4.69
108,Sri Lanka,4.47,4.44,4.42,4.27
109,Iraq,4.46,4.5,4.58,4.68
110,Mali,4.45,4.19,4.07,4.0
111,Cambodia,4.43,4.17,3.91,3.82
112,Burkina Faso,4.42,4.03,3.74,3.59
113,Egypt,4.42,4.74,4.36,4.19
114,Kenya,4.41,4.55,4.36,4.42
115,Zambia,4.38,4.51,4.8,5.13
116,Mauritania,4.36,4.29,4.2,4.44
